feature,mean_gain,n_models
cutoff_volume_seen_mean_10cut,0.004540551084573963,16
cutoff_volume_seen_std_3cut,0.0018348485145207422,26
cutoff_return_from_open_mean_3cut,0.001819859679716711,26
cutoff_volume_seen_std_20d,0.001819575018509148,26
cutoff_range_seen_mean_3cut,0.0017607603423619787,26
cutoff_volume_seen_mean_10d,0.0017545520611086183,22
close_open_log_return_mean_10d,0.001721065491437912,1
high_low_log_range_mean_20d,0.001452123167350042,14
cutoff_volume_seen_std_5d,0.0013517769402824342,26
high,0.0012745556461875541,26
open,0.0012282749991684866,26
cutoff_volume_seen_std_10d,0.0012104561521062772,26
cutoff_range_seen_mean_20d,0.0012013405077875806,26
cutoff_range_seen_mean_10d,0.00119294996413653,26
high_low_log_range_std_10d,0.0011459653422934936,25
cutoff_range_seen_mean_5d,0.0011394843794942761,26
high_low_log_range_mean_10d,0.0011332116555422544,26
high_low_log_range_mean_5d,0.001089813797779453,26
high_low_log_range_std_5d,0.0010808715954996073,26
cutoff_return_from_open,0.0010280480984455119,26
cutoff_range_seen_std_10d,0.0009921227040020032,26
cutoff_volume_seen_mean_5d,0.0009845856189853153,26
log_return_1_std_5d,0.0009452699456081367,6
cutoff_range_seen,0.0009346592302720707,26
cutoff_range_seen_std_5d,0.0008934958000631573,26
